[2026-06-04 06:51:23] iteration        1/  100000 | consumed samples:        16384 | elapsed time per iteration (ms): 446213.5 | throughput per GPU (TFLOP/s/GPU): 36.7 | learning rate: 2.000000E-07 | global batch size: 16384 | lm loss: 1.319770E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.580 | num zeros: 262293552.0 | params norm: 13415.513 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:16:30] iteration       31/  100000 | consumed samples:       507904 | elapsed time per iteration (ms): 46596.1 | throughput per GPU (TFLOP/s/GPU): 351.4 | learning rate: 6.200000E-06 | global batch size: 16384 | lm loss: 9.690291E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 57.623 | num zeros: 268436896.0 | params norm: 13415.503 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:17:16] iteration       32/  100000 | consumed samples:       524288 | elapsed time per iteration (ms): 45782.5 | throughput per GPU (TFLOP/s/GPU): 357.6 | learning rate: 6.400000E-06 | global batch size: 16384 | lm loss: 9.515308E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 37.927 | num zeros: 262987680.0 | params norm: 13415.503 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:18:03] iteration       33/  100000 | consumed samples:       540672 | elapsed time per iteration (ms): 47170.4 | throughput per GPU (TFLOP/s/GPU): 347.1 | learning rate: 6.600000E-06 | global batch size: 16384 | lm loss: 9.321924E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 16.843 | num zeros: 276052000.0 | params norm: 13415.503 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:18:49] iteration       34/  100000 | consumed samples:       557056 | elapsed time per iteration (ms): 45713.8 | throughput per GPU (TFLOP/s/GPU): 358.1 | learning rate: 6.800000E-06 | global batch size: 16384 | lm loss: 9.319151E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.771 | num zeros: 270850688.0 | params norm: 13415.501 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:19:35] iteration       35/  100000 | consumed samples:       573440 | elapsed time per iteration (ms): 46118.0 | throughput per GPU (TFLOP/s/GPU): 355.0 | learning rate: 7.000000E-06 | global batch size: 16384 | lm loss: 9.249924E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 20.079 | num zeros: 278365056.0 | params norm: 13415.501 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:20:23] iteration       36/  100000 | consumed samples:       589824 | elapsed time per iteration (ms): 47548.8 | throughput per GPU (TFLOP/s/GPU): 344.3 | learning rate: 7.200000E-06 | global batch size: 16384 | lm loss: 9.035314E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 9.962 | num zeros: 267547552.0 | params norm: 13415.501 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:21:09] iteration       37/  100000 | consumed samples:       606208 | elapsed time per iteration (ms): 46281.3 | throughput per GPU (TFLOP/s/GPU): 353.7 | learning rate: 7.400000E-06 | global batch size: 16384 | lm loss: 8.791268E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 8.079 | num zeros: 256023744.0 | params norm: 13415.501 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:21:55] iteration       38/  100000 | consumed samples:       622592 | elapsed time per iteration (ms): 46316.5 | throughput per GPU (TFLOP/s/GPU): 353.5 | learning rate: 7.600000E-06 | global batch size: 16384 | lm loss: 8.657904E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 16.328 | num zeros: 278435968.0 | params norm: 13415.500 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:22:42] iteration       39/  100000 | consumed samples:       638976 | elapsed time per iteration (ms): 46339.6 | throughput per GPU (TFLOP/s/GPU): 353.3 | learning rate: 7.800000E-06 | global batch size: 16384 | lm loss: 8.952418E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 35.722 | num zeros: 256223264.0 | params norm: 13415.500 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:23:27] iteration       40/  100000 | consumed samples:       655360 | elapsed time per iteration (ms): 45956.6 | throughput per GPU (TFLOP/s/GPU): 356.2 | learning rate: 8.000000E-06 | global batch size: 16384 | lm loss: 8.731428E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 15.292 | num zeros: 256619024.0 | params norm: 13415.498 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:24:14] iteration       41/  100000 | consumed samples:       671744 | elapsed time per iteration (ms): 46413.6 | throughput per GPU (TFLOP/s/GPU): 352.7 | learning rate: 8.200000E-06 | global batch size: 16384 | lm loss: 8.570576E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 8.276 | num zeros: 267977472.0 | params norm: 13415.498 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:25:01] iteration       42/  100000 | consumed samples:       688128 | elapsed time per iteration (ms): 46847.2 | throughput per GPU (TFLOP/s/GPU): 349.5 | learning rate: 8.400000E-06 | global batch size: 16384 | lm loss: 8.479841E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 6.684 | num zeros: 278652096.0 | params norm: 13415.497 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:25:48] iteration       43/  100000 | consumed samples:       704512 | elapsed time per iteration (ms): 46746.3 | throughput per GPU (TFLOP/s/GPU): 350.2 | learning rate: 8.600000E-06 | global batch size: 16384 | lm loss: 8.332546E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 7.790 | num zeros: 264286416.0 | params norm: 13415.497 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:26:33] iteration       44/  100000 | consumed samples:       720896 | elapsed time per iteration (ms): 45888.5 | throughput per GPU (TFLOP/s/GPU): 356.8 | learning rate: 8.800000E-06 | global batch size: 16384 | lm loss: 8.651692E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 40.419 | num zeros: 273464352.0 | params norm: 13415.496 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:27:19] iteration       45/  100000 | consumed samples:       737280 | elapsed time per iteration (ms): 45929.9 | throughput per GPU (TFLOP/s/GPU): 356.4 | learning rate: 9.000000E-06 | global batch size: 16384 | lm loss: 8.665383E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 32.155 | num zeros: 273009088.0 | params norm: 13415.495 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:28:06] iteration       46/  100000 | consumed samples:       753664 | elapsed time per iteration (ms): 47067.4 | throughput per GPU (TFLOP/s/GPU): 347.8 | learning rate: 9.200000E-06 | global batch size: 16384 | lm loss: 8.388271E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 11.483 | num zeros: 273317280.0 | params norm: 13415.494 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:28:52] iteration       47/  100000 | consumed samples:       770048 | elapsed time per iteration (ms): 45390.1 | throughput per GPU (TFLOP/s/GPU): 360.7 | learning rate: 9.400000E-06 | global batch size: 16384 | lm loss: 8.216391E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 6.679 | num zeros: 271946592.0 | params norm: 13415.493 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:29:38] iteration       48/  100000 | consumed samples:       786432 | elapsed time per iteration (ms): 46359.5 | throughput per GPU (TFLOP/s/GPU): 353.1 | learning rate: 9.600000E-06 | global batch size: 16384 | lm loss: 8.295433E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 24.953 | num zeros: 270970080.0 | params norm: 13415.492 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:30:26] iteration       49/  100000 | consumed samples:       802816 | elapsed time per iteration (ms): 47720.0 | throughput per GPU (TFLOP/s/GPU): 343.1 | learning rate: 9.800000E-06 | global batch size: 16384 | lm loss: 8.151501E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 6.226 | num zeros: 254048160.0 | params norm: 13415.490 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:31:13] iteration       50/  100000 | consumed samples:       819200 | elapsed time per iteration (ms): 46657.3 | throughput per GPU (TFLOP/s/GPU): 350.9 | learning rate: 1.000000E-05 | global batch size: 16384 | lm loss: 8.076744E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 9.074 | num zeros: 264658672.0 | params norm: 13415.489 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:31:59] iteration       51/  100000 | consumed samples:       835584 | elapsed time per iteration (ms): 46183.1 | throughput per GPU (TFLOP/s/GPU): 354.5 | learning rate: 1.020000E-05 | global batch size: 16384 | lm loss: 8.021595E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 10.646 | num zeros: 256701264.0 | params norm: 13415.488 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:32:45] iteration       52/  100000 | consumed samples:       851968 | elapsed time per iteration (ms): 46584.0 | throughput per GPU (TFLOP/s/GPU): 351.4 | learning rate: 1.040000E-05 | global batch size: 16384 | lm loss: 7.964336E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.914 | num zeros: 251325072.0 | params norm: 13415.487 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:33:32] iteration       53/  100000 | consumed samples:       868352 | elapsed time per iteration (ms): 46387.3 | throughput per GPU (TFLOP/s/GPU): 352.9 | learning rate: 1.060000E-05 | global batch size: 16384 | lm loss: 7.967117E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.662 | num zeros: 288142464.0 | params norm: 13415.485 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:34:18] iteration       54/  100000 | consumed samples:       884736 | elapsed time per iteration (ms): 45949.7 | throughput per GPU (TFLOP/s/GPU): 356.3 | learning rate: 1.080000E-05 | global batch size: 16384 | lm loss: 7.944992E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 9.857 | num zeros: 281937984.0 | params norm: 13415.483 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:35:04] iteration       55/  100000 | consumed samples:       901120 | elapsed time per iteration (ms): 46612.2 | throughput per GPU (TFLOP/s/GPU): 351.2 | learning rate: 1.100000E-05 | global batch size: 16384 | lm loss: 7.864484E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 6.676 | num zeros: 270891168.0 | params norm: 13415.482 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:35:51] iteration       56/  100000 | consumed samples:       917504 | elapsed time per iteration (ms): 47060.0 | throughput per GPU (TFLOP/s/GPU): 347.9 | learning rate: 1.120000E-05 | global batch size: 16384 | lm loss: 7.779310E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 5.781 | num zeros: 260103424.0 | params norm: 13415.480 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:36:37] iteration       57/  100000 | consumed samples:       933888 | elapsed time per iteration (ms): 45762.3 | throughput per GPU (TFLOP/s/GPU): 357.8 | learning rate: 1.140000E-05 | global batch size: 16384 | lm loss: 7.756042E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 8.496 | num zeros: 265883536.0 | params norm: 13415.479 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:37:23] iteration       58/  100000 | consumed samples:       950272 | elapsed time per iteration (ms): 45974.8 | throughput per GPU (TFLOP/s/GPU): 356.1 | learning rate: 1.160000E-05 | global batch size: 16384 | lm loss: 7.785041E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 15.959 | num zeros: 270847584.0 | params norm: 13415.476 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:38:10] iteration       59/  100000 | consumed samples:       966656 | elapsed time per iteration (ms): 46464.0 | throughput per GPU (TFLOP/s/GPU): 352.4 | learning rate: 1.180000E-05 | global batch size: 16384 | lm loss: 7.726691E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 6.963 | num zeros: 270338272.0 | params norm: 13415.475 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:38:55] iteration       60/  100000 | consumed samples:       983040 | elapsed time per iteration (ms): 45708.2 | throughput per GPU (TFLOP/s/GPU): 358.2 | learning rate: 1.200000E-05 | global batch size: 16384 | lm loss: 7.594957E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 4.636 | num zeros: 289750016.0 | params norm: 13415.472 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:39:42] iteration       61/  100000 | consumed samples:       999424 | elapsed time per iteration (ms): 46727.0 | throughput per GPU (TFLOP/s/GPU): 350.4 | learning rate: 1.220000E-05 | global batch size: 16384 | lm loss: 7.651895E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 15.146 | num zeros: 272593568.0 | params norm: 13415.469 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:40:29] iteration       62/  100000 | consumed samples:      1015808 | elapsed time per iteration (ms): 46818.7 | throughput per GPU (TFLOP/s/GPU): 349.7 | learning rate: 1.240000E-05 | global batch size: 16384 | lm loss: 7.580057E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 10.603 | num zeros: 281005824.0 | params norm: 13415.467 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:41:15] iteration       63/  100000 | consumed samples:      1032192 | elapsed time per iteration (ms): 46057.1 | throughput per GPU (TFLOP/s/GPU): 355.5 | learning rate: 1.260000E-05 | global batch size: 16384 | lm loss: 7.492435E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 5.710 | num zeros: 257142752.0 | params norm: 13415.465 | number of skipped iterations:   0 | number of nan iterations:   0 |
